result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
38	“big government” site:humanevents.com/article.php?id=33718	Obamanomics Is Making Matters Worse - HUMAN EVENTS	http://www.humanevents.com/article.php?id=30810	24 Feb 2009 ... Another book was called The Case for Big Government by Jeff Madrick, the editor of Challenge magazine. I can understand writing a book in ...  	685		
39	“big government” site:humanevents.com/article.php?id=33718	- HUMAN EVENTS	http://www.humanevents.com/article.php?id=14265	Taxpayers Lose Three More Days to Big Government in 2006. 04/26/2006. Every April, the non-partisan Tax Foundation releases a report that calculates how ...  	685		
40	“big government” site:humanevents.com/article.php?id=33718	The Kindness of Big Business: A Story - HUMAN EVENTS	http://www.humanevents.com/article.php?id=34675	4 Dec 2009 ... But every once in a while, you hear a story that makes you recognize that big business is far superior to big government , even in terms of ...  	685		
41	“big government” site:moconews.net/article/419-fcc-to-propose-new-net-neutrality-rules-wireless-operators-will-be-affe	n/a	n/a	n/a	n/a		
42	“big government” site:news.yahoo.com/s/ap/20100108/ap_on_hi_te/us_tec_comcast_fcc_internet_rules	n/a	n/a	n/a	n/a		
43	“big government” site:en.wikipedia.org/wiki/Network_neutrality	n/a	n/a	n/a	n/a		
44	“big government” site:urlesque.com/2009/11/02/net-neutrality-save-the-internet	n/a	n/a	n/a	n/a		
45	“big government” site:books.google.com/books?id=lzYEAAAAMBAJ&pg=PA12&lpg=PA12&dq="net	n/a	n/a	n/a	n/a		
46	“big government” site:madisonian.net/2006/06/01/net-neutrality-anecdote	n/a	n/a	n/a	n/a		
47	“big government” site:eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ	Opinion of the European Economic and Social Committee on ...	http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:C:2006:195:0048:0053:EN:PDF	File Format: PDF/Adobe Acrobat - Quick View  the big government deficits of the previous years.  5.3. From 1993 onwards, active labour market policy was being strengthened just at the time the economy ...  	1		
48	“big government” site:fiercewireless.com/story/opposition-grows-net-neutrality-push-while-sprint-clearwire-voice-support/2009-09-22	n/a	n/a	n/a	n/a		
49	“big government” site:zeropaid.com/news/87351/comcast-nbc-merger-and-importance-of-net-neutrality	n/a	n/a	n/a	n/a		
50	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Americans for Limited Government - SourceWatch	http://www.sourcewatch.org/index.php?title=Americans_for_Limited_Government	1 Nov 2006 ... movement that fights for hardworking taxpayers and against the special interests that continually push for big government nationwide. ...  	134		
51	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Ron Paul - SourceWatch	http://www.sourcewatch.org/index.php?title=Ron_Paul	Tobacco put the welcome mat out for big Government . Now it is only a matter of time before nicotine will be declared a drug and more FDA regulation will ...  	134		
52	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Talk:Carl Mumpower - SourceWatch	http://www.sourcewatch.org/index.php?title=Talk:Carl_Mumpower	Government â I have more faith in the contributions of a small government that does most things well than a big government that does most things poorly. ...  	134		
53	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	60 Plus Association - SourceWatch	http://www.sourcewatch.org/index.php?title=60_Plus_Association	... as the press release called it -- a " big government plan" that would supposedly cause "many patients and senior citizens [to] lose their current private ...  	134		
54	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Talk:Conservative - SourceWatch	http://www.sourcewatch.org/index.php?title=Talk:Conservative	... been successful in flimflamming many Americans into voting against their own best interests with a lot of hysterical nonsense about " big government ". ...  	134		
55	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Will Breazeale - SourceWatch	http://www.sourcewatch.org/index.php?title=Will_Breazeale	... start receiving benefits, a restriction not faced by active duty forces retirees. Breazeale is Pro Life, Pro Second Amendment and Anti Big government . ... Show map of 100 Francis St, Elizabethtown, NC 28337 www.sourcewatch.org/index.php?title=Will_Breazeale - Cached - Similar 	134		
56	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Center for Media and Democracy - SourceWatch	http://www.sourcewatch.org/index.php?title=Center_for_Media_and_Democracy	The book notes that notwithstanding self-named "conservatives" have a "stated aversion to ' big government ,' when in control of the federal government they ...  	134		
57	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Compassionate Conservatism - SourceWatch	http://www.sourcewatch.org/index.php/Compassionate_Conservatism	As a political philosophy, compassionate conservatism serves as a true bridge from the era of big government as a way to solve social problems to a new era ...  	134		
58	“big government” site:sourcewatch.org/index.php?title=Network_neutrality_legislation	Bruce Bartlett - SourceWatch	http://www.sourcewatch.org/index.php?title=Bruce_Bartlett	The idea of big government conservatism, a term often used to describe Bush's philosophy, is a contradiction in terms," he wrote. ...  	134		
