result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
144	“quality of service” site:laquadrature.net/Net_neutrality	n/a	n/a	n/a	n/a		
145	“quality of service” site:unionsquareventures.com/2006/07/through-the-loo-1.php	n/a	n/a	n/a	n/a		
146	“quality of service” site:eponymouspickle.blogspot.com/2009/12/net-neutrality-and-tech-implications.html	n/a	n/a	n/a	n/a		
147	“quality of service” site:internetnews.com/government/article.php/3845416	n/a	n/a	n/a	n/a		
148	“quality of service” site:fiercebroadbandwireless.com/story/2009-year-review-net-neutrality-fight-begins/2009-12-18	n/a	n/a	n/a	n/a		
149	“quality of service” site:networkworld.com/news/2009/092109-genachowski-net-neutrality-speech.html?fsrc=netflash-rss	n/a	n/a	n/a	n/a		
150	“fairness doctrine” site:amazon.com/Virtual-Freedom-Neutrality-Internet-Stanford/dp/0804763852	n/a	n/a	n/a	n/a		
151	“fairness doctrine” site:petelumbis.org/blog/?p=1197	n/a	n/a	n/a	n/a		
152	“fairness doctrine” site:nycbroadband.blogspot.com/2009/11/nyc-council-holds-net-neutrality.html	n/a	n/a	n/a	n/a		
153	“fairness doctrine” site:democraticmedia.ca/net-neutrality/net-neutrality	n/a	n/a	n/a	n/a		
154	“fairness doctrine” site:defendnetneutrality.org	n/a	n/a	n/a	n/a		
155	“fairness doctrine” site:azcentral.com/arizonarepublic/opinions/articles/0626mon1-26.html	n/a	n/a	n/a	n/a		
156	“fairness doctrine” site:mhgoldberg.com/blog/2006/03/net-neutrality-or-open-access.html	n/a	n/a	n/a	n/a		
157	“fairness doctrine” site:zdnetasia.com/insight/internet/0,39044877,62057309,00.htm	n/a	n/a	n/a	n/a		
158	“fairness doctrine” site:democraticmedia.ca/netneutrality	n/a	n/a	n/a	n/a		
159	“fairness doctrine” site:digitaldaily.allthingsd.com/20091023/mccain-gets-mavericky-on-net-neutrality	n/a	n/a	n/a	n/a		
160	“fairness doctrine” site:huffingtonpost.com/adam-green/mike-mccurry-hurting-t_b_20216.html	n/a	n/a	n/a	n/a		
161	“fairness doctrine” site:isen.com/blog/2007/10/why-net-neutrality-law-is-not-enough.html	n/a	n/a	n/a	n/a		
162	“fairness doctrine” site:v3.co.uk/vnunet/news/2193214/ftc-abandons-net-neutrality	n/a	n/a	n/a	n/a		
163	“fairness doctrine” site:cio.com/article/502574/Report_FCC_Will_Formalize_Net_Neutrality_Rule	n/a	n/a	n/a	n/a		
164	“fairness doctrine” site:openinternet.gov/read-speech.html	n/a	n/a	n/a	n/a		
165	“fairness doctrine” site:ecommercetimes.com/rsstory/68927.html	n/a	n/a	n/a	n/a		
166	“fairness doctrine” site:inc.com/news/articles/2009/09/net.html	n/a	n/a	n/a	n/a		
167	“fairness doctrine” site:digitaldaily.allthingsd.com/20090921/net-neutrality-fcc-chairman-julius-genachowskis-speech-in-full	n/a	n/a	n/a	n/a		
168	“fairness doctrine” site:enterprisenetworkingplanet.com/news/article.php/3851946	n/a	n/a	n/a	n/a		
169	“fairness doctrine” site:helium.com/items/1423651-net-neutrality-internet-regulation	n/a	n/a	n/a	n/a		
170	“fairness doctrine” site:helium.com/channels/520-Internet-Access-Providers	n/a	n/a	n/a	n/a		
171	“fairness doctrine” site:4g-wirelessevolution.tmcnet.com/broadband-stimulus/topics/broadband-stimulus/articles/62478-broadband-stimulus-fuels-net-neutrality-debate-acme-packet.htm	n/a	n/a	n/a	n/a		
172	“fairness doctrine” site:lauren.vortex.com/archive/000627.html	n/a	n/a	n/a	n/a		
173	“fairness doctrine” site:americanthinker.com/2009/11/net_neutrality_nets_out_to_gov.html	n/a	n/a	n/a	n/a		
174	“fairness doctrine” site:laquadrature.net/Net_neutrality	n/a	n/a	n/a	n/a		
175	“fairness doctrine” site:unionsquareventures.com/2006/07/through-the-loo-1.php	n/a	n/a	n/a	n/a		
176	“fairness doctrine” site:eponymouspickle.blogspot.com/2009/12/net-neutrality-and-tech-implications.html	n/a	n/a	n/a	n/a		
177	“fairness doctrine” site:internetnews.com/government/article.php/3845416	n/a	n/a	n/a	n/a		
178	“fairness doctrine” site:fiercebroadbandwireless.com/story/2009-year-review-net-neutrality-fight-begins/2009-12-18	n/a	n/a	n/a	n/a		
179	“fairness doctrine” site:networkworld.com/news/2009/092109-genachowski-net-neutrality-speech.html?fsrc=netflash-rss	n/a	n/a	n/a	n/a		
180	“big telecom” site:amazon.com/Virtual-Freedom-Neutrality-Internet-Stanford/dp/0804763852	n/a	n/a	n/a	n/a		
181	“big telecom” site:petelumbis.org/blog/?p=1197	n/a	n/a	n/a	n/a		
182	“big telecom” site:nycbroadband.blogspot.com/2009/11/nyc-council-holds-net-neutrality.html	n/a	n/a	n/a	n/a		
183	“big telecom” site:democraticmedia.ca/net-neutrality/net-neutrality	Net Neutrality | OpenMedia.ca	http://democraticmedia.ca/net-neutrality/net-neutrality	Big telecom companies like Telus like to scare policy makers by suggesting any open Internet requirements for Internet Service Providers will lead to ...  	2		
184	“big telecom” site:democraticmedia.ca/net-neutrality/net-neutrality	OpenMedia.ca - Net Neutrality	http://democraticmedia.ca/net-neutrality/net-neutrality/feed	Big telecom companies like Telus like to scare policy makers by suggesting any open Internet requirements for Internet Service Providers will lead to ...  	2		
185	“big telecom” site:defendnetneutrality.org	n/a	n/a	n/a	n/a		
186	“big telecom” site:azcentral.com/arizonarepublic/opinions/articles/0626mon1-26.html	n/a	n/a	n/a	n/a		
187	“big telecom” site:mhgoldberg.com/blog/2006/03/net-neutrality-or-open-access.html	n/a	n/a	n/a	n/a		
188	“big telecom” site:zdnetasia.com/insight/internet/0,39044877,62057309,00.htm	n/a	n/a	n/a	n/a		
189	“big telecom” site:democraticmedia.ca/netneutrality	n/a	n/a	n/a	n/a		
190	“big telecom” site:digitaldaily.allthingsd.com/20091023/mccain-gets-mavericky-on-net-neutrality	n/a	n/a	n/a	n/a		
191	“big telecom” site:huffingtonpost.com/adam-green/mike-mccurry-hurting-t_b_20216.html	n/a	n/a	n/a	n/a		
192	“big telecom” site:isen.com/blog/2007/10/why-net-neutrality-law-is-not-enough.html	n/a	n/a	n/a	n/a		
193	“big telecom” site:v3.co.uk/vnunet/news/2193214/ftc-abandons-net-neutrality	n/a	n/a	n/a	n/a		
194	“big telecom” site:cio.com/article/502574/Report_FCC_Will_Formalize_Net_Neutrality_Rule	n/a	n/a	n/a	n/a		
195	“big telecom” site:openinternet.gov/read-speech.html	n/a	n/a	n/a	n/a		
196	“big telecom” site:ecommercetimes.com/rsstory/68927.html	n/a	n/a	n/a	n/a		
197	“big telecom” site:inc.com/news/articles/2009/09/net.html	n/a	n/a	n/a	n/a		
198	“big telecom” site:digitaldaily.allthingsd.com/20090921/net-neutrality-fcc-chairman-julius-genachowskis-speech-in-full	n/a	n/a	n/a	n/a		
199	“big telecom” site:enterprisenetworkingplanet.com/news/article.php/3851946	n/a	n/a	n/a	n/a		
200	“big telecom” site:helium.com/items/1423651-net-neutrality-internet-regulation	n/a	n/a	n/a	n/a		
201	“big telecom” site:helium.com/channels/520-Internet-Access-Providers	n/a	n/a	n/a	n/a		
202	“big telecom” site:4g-wirelessevolution.tmcnet.com/broadband-stimulus/topics/broadband-stimulus/articles/62478-broadband-stimulus-fuels-net-neutrality-debate-acme-packet.htm	n/a	n/a	n/a	n/a		
203	“big telecom” site:lauren.vortex.com/archive/000627.html	n/a	n/a	n/a	n/a		
204	“big telecom” site:americanthinker.com/2009/11/net_neutrality_nets_out_to_gov.html	n/a	n/a	n/a	n/a		
205	“big telecom” site:laquadrature.net/Net_neutrality	n/a	n/a	n/a	n/a		
206	“big telecom” site:unionsquareventures.com/2006/07/through-the-loo-1.php	n/a	n/a	n/a	n/a		
207	“big telecom” site:eponymouspickle.blogspot.com/2009/12/net-neutrality-and-tech-implications.html	n/a	n/a	n/a	n/a		
208	“big telecom” site:internetnews.com/government/article.php/3845416	n/a	n/a	n/a	n/a		
209	“big telecom” site:fiercebroadbandwireless.com/story/2009-year-review-net-neutrality-fight-begins/2009-12-18	n/a	n/a	n/a	n/a		
210	“big telecom” site:networkworld.com/news/2009/092109-genachowski-net-neutrality-speech.html?fsrc=netflash-rss	n/a	n/a	n/a	n/a		
211	“open internet” site:amazon.com/Virtual-Freedom-Neutrality-Internet-Stanford/dp/0804763852	n/a	n/a	n/a	n/a		
212	“open internet” site:petelumbis.org/blog/?p=1197	n/a	n/a	n/a	n/a		
213	“open internet” site:nycbroadband.blogspot.com/2009/11/nyc-council-holds-net-neutrality.html	n/a	n/a	n/a	n/a		
214	“open internet” site:democraticmedia.ca/net-neutrality/net-neutrality	Net Neutrality | OpenMedia.ca	http://democraticmedia.ca/net-neutrality/net-neutrality	Big telecom companies like Telus like to scare policy makers by suggesting any open Internet requirements for Internet Service Providers will lead to ...  	3		
215	“open internet” site:democraticmedia.ca/net-neutrality/net-neutrality	OpenMedia.ca - Net Neutrality	http://democraticmedia.ca/net-neutrality/net-neutrality/feed	Big telecom companies like Telus like to scare policy makers by suggesting any open Internet requirements for Internet Service Providers will lead to ...  	3		
216	“open internet” site:democraticmedia.ca/net-neutrality/net-neutrality	Net Neutrality | OpenMedia.ca	http://democraticmedia.ca/net-neutrality/net-neutrality?page=1	SaveOurNet.ca: Coalition rallies public to support Open Internet  ... Charlie Smith discusses the political support for an open Internet  ...  	3		
217	“open internet” site:defendnetneutrality.org	n/a	n/a	n/a	n/a		
218	“open internet” site:azcentral.com/arizonarepublic/opinions/articles/0626mon1-26.html	n/a	n/a	n/a	n/a		
219	“open internet” site:mhgoldberg.com/blog/2006/03/net-neutrality-or-open-access.html	n/a	n/a	n/a	n/a		
220	“open internet” site:zdnetasia.com/insight/internet/0,39044877,62057309,00.htm	n/a	n/a	n/a	n/a		
221	“open internet” site:democraticmedia.ca/netneutrality	Net Neutrality Background | OpenMedia.ca	http://democraticmedia.ca/netneutrality/background	The Fight for the Open Internet http://canadiandimension.com/articles/2008/01/16 /1543/. The Search  for Net Neutrality  ...democraticmedia.ca/netneutrality/background - Cached 	1		
222	“open internet” site:digitaldaily.allthingsd.com/20091023/mccain-gets-mavericky-on-net-neutrality	n/a	n/a	n/a	n/a		
223	“open internet” site:huffingtonpost.com/adam-green/mike-mccurry-hurting-t_b_20216.html	Adam Green: Mike McCurry -- Hurting The Internet, Hurting His Admirers	http://www.huffingtonpost.com/adam-green/mike-mccurry-hurting-t_b_20216.html	2 May 2006 ... Not  only is he serving as the mouthpiece for AT&T and other corporations who self-servingly want to end the free and open Internet as we ...  	1		
224	“open internet” site:isen.com/blog/2007/10/why-net-neutrality-law-is-not-enough.html	n/a	n/a	n/a	n/a		
225	“open internet” site:v3.co.uk/vnunet/news/2193214/ftc-abandons-net-neutrality	n/a	n/a	n/a	n/a		
