result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
49	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | ZDNet.com	http://government.zdnet.com/?cat=98	15 Dec 2009 ... Historians can take decades to write important stories about critical events by verifying facts and sifting through archives. ...  	13		
50	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | ZDNet.com	http://government.zdnet.com/index.php?cat=83&submit=view	27 Oct 2009 ... News and analysis on IT and enterprise computing in city, state & federal government.  	13		
51	“big government” site:government.zdnet.com/?p=6518	DOJ vs. Google: Will it happen? Unlikely - as government would ...	http://government.zdnet.com/index.php?p=6449	There's a potential anti-trust fight looming on the horizon. The target: Google. It's a mega-sized company that many are beginning to become leery of.  	13		
52	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | ZDNet.com	http://government.zdnet.com/?cat=209	After returning home to their respective countries, global leaders carried on with agendas and political issues that require completion prior to the end of ...  	13		
53	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | ZDNet.com	http://government.zdnet.com/?cat=35	This past decade the software community has experienced significant turmoil and success. Linux, a mainstream operating system, is proof you can monetize ...  	13		
54	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | ZDNet.com	http://government.zdnet.com/?tag=govhlink&paged=208&paged=21&paged=22		13		
55	“big government” site:government.zdnet.com/?p=6518	Negroponte's big lie | ZDNet Government | ZDNet.com	http://government.zdnet.com/?p=3828&amp;paged=35&paged=2		13		
56	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | Archive for December, 2009 | ZDNet.com	http://government.zdnet.com/?m=200912	11 Dec 2009 ... Archive for December, 2009 - News and analysis on IT and enterprise computing in city, state & federal government.  	13		
57	“big government” site:pcmag.com/article2/0,2817,2357182,00.asp	n/a	n/a	n/a	n/a		
58	“big government” site:telephonyonline.com/service_delivery/commentary/atts-net-neutrality-stake-1216	n/a	n/a	n/a	n/a		
59	“big government” site:fiercewireless.com/story/t-supports-spirit-not-strict-rules-net-neutrality/2009-12-16	n/a	n/a	n/a	n/a		
60	“big government” site:broadbandbreakfast.com/2009/12/wireless-industry-official-consumer-advocate-face-off-on-net-neutrality	n/a	n/a	n/a	n/a		
61	“big government” site:blog.internetnews.com/kcorbin/2010/01/senate-tech-shakeup-dorgan-out.html	n/a	n/a	n/a	n/a		
62	“big government” site:broadbandbreakfast.com/2010/01/the-hills-kim-hart-to-co-moderate-net-neutrality-copyright-protection-and-national-broadband-plan-town-hall	n/a	n/a	n/a	n/a		
63	“big government” site:voices.washingtonpost.com/posttech/2010/01/cocktail_conversation_on_ces_p.html	n/a	n/a	n/a	n/a		
64	“big government” site:cbc.ca/technology/story/2010/01/07/ces-3d-tv.html	n/a	n/a	n/a	n/a		
65	“big government” site:voices.washingtonpost.com/posttech/2010/01/at_ces_tech_geeks_meet_the_fed.html	n/a	n/a	n/a	n/a		
66	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: Billionaires for Big Government:	http://www.capitalresearch.org/pubs/pubs.html?id=620	Billionaires for Big Government : - Capital Research Center (CRC) monitors environmental groups, non-profits, foundations & labor unions in Washington, ...  	11		
67	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: Back to Big Government	http://www.capitalresearch.org/pubs/pubs.html?id=327	Back to Big Government - Capital Research Center (CRC) monitors environmental groups, non-profits, foundations & labor unions in Washington, ...  	11		
68	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: Patterns of Corporate Philanthropy	http://www.capitalresearch.org/pubs/pubs.html?id=99	Corporate support for big-government liberal advocacy groups is at an all-time ... In fact, corporate funding to big-government organizations is at a near ...  	11		
69	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: In Goldman Sachs We Trust	http://www.capitalresearch.org/pubs/pubs.html?id=659	Its politics skew left, and as the company's competitors on Wall Street go belly up, Goldman, a friend of Big Government , remains profitable and its ...  	11		
70	“big government” site:capitalresearch.org/pubs/pubs.html?id=714	Capital Research Center: Wal-Mart Goes Left	http://www.capitalresearch.org/pubs/pubs.html?id=573	The company now funds radical groups and intimidates its suppliers into adopting its liberal, Big Government agenda. View the full version in PDF Format ...  	11		
