result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
32	“big government” site:arstechnica.com/tech-policy/news/2009/12/big-cable-pro-net-neutrality-arguments-turn-first-amendment-on-its-head.ars	n/a	n/a	n/a	n/a		
33	“big government” site:circleid.com/topics/net_neutrality	n/a	n/a	n/a	n/a		
34	“big government” site:blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars	n/a	n/a	n/a	n/a		
35	“big government” site:cnn.com/2009/TECH/10/24/net.neutrality.politics/index.html	n/a	n/a	n/a	n/a		
36	“big government” site:publicknowledge.org/issues/network-neutrality	n/a	n/a	n/a	n/a		
37	“big government” site:freepress.net/policy/internet/net_neutrality	n/a	n/a	n/a	n/a		
38	“big government” site:online.wsj.com/article/SB125329467451823485.html	n/a	n/a	n/a	n/a		
39	“big government” site:openinternetcoalition.com	n/a	n/a	n/a	n/a		
40	“big government” site:techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page	n/a	n/a	n/a	n/a		
41	“big government” site:usatoday.com/tech/news/2009-12-09-netneutrality09_CV_N.htm	n/a	n/a	n/a	n/a		
42	“big government” site:handsoff.org	ISSUE ANALYSIS NET NEUTRALITY, SMALL BUSINESS, AND BIG GOVERNMENT	http://handsoff.org/hoti_docs/studies/FreedomWorks_Study_61907.pdf	File Format: PDF/Adobe Acrobat - View as HTML  NET NEUTRALITY, SMALL BUSINESS, AND BIG GOVERNMENT . Wayne T. Brough, Ph.D.* and. Arthur A. Fleisher, III, Ph.D.**. June 15, 2007 ...  	2		
43	“big government” site:handsoff.org	Hands off the  Internet Â» Spare the Net	http://www.handsoff.org/blog/spare-the-net/	... extremists to support Net neutrality, but I'm very disappointed that a purportedly conservative group is jumping on the big government bandwagon. ...  	2		
44	“big government” site:thedailyshow.com/watch/wed-july-19-2006/net-neutrality-act	n/a	n/a	n/a	n/a		
45	“big government” site:foureyedmonsters.com/neutrality	n/a	n/a	n/a	n/a		
46	“big government” site:laquadrature.net/Net_neutrality	n/a	n/a	n/a	n/a		
47	“new regulation” site:en.wikipedia.org/wiki/Network_neutrality	Network neutrality - Wikipedia, the free encyclopedia	http://en.wikipedia.org/wiki/Network_neutrality	Since September 2007 in Russian Federation there is a government resolution N 575, which gives new regulation rules of telematics services. ...  	1		
48	“new regulation” site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
49	“new regulation” site:savetheinternet.com	Net Neutrality Is a Good  Investment | Save the Internet	http://www.savetheinternet.com/blog/09/10/22/net-neutrality-good-investment	22 Oct 2009 ... McKinnon ominously warned investment and the jobs âcould be snuffed out by new regulation that chills the revenue streams to fund it.â ...  	6		
